County,Year,Lat.y,Long.y,Votes_DEM,Votes_REP
VANCE,2012,36.3649,-78.4079,13323,7429
WAKE,2012,35.7903,-78.6503,267262,211596
WARREN,2012,36.3965,-78.1067,6978,3140
WASHINGTON,2012,35.8226,-76.5775,3833,2622
WATAUGA,2012,36.2311,-81.6964,13002,13861
WAYNE,2012,35.364,-78.004,23314,27641
WILKES,2012,36.2062,-81.163,8148,20515
WILSON,2012,35.7051,-77.9187,20875,17954
YADKIN,2012,36.1605,-80.6652,3957,12578
YANCEY,2012,35.8989,-82.3076,3981,5278
ALAMANCE,2016,NA,NA,29833,38815
ALEXANDER,2016,35.921,-81.177,3767,13893
ALLEGHANY,2016,36.4916,-81.1271,1306,3814
ANSON,2016,34.9738,-80.1027,5859,4506
ASHE,2016,36.4341,-81.5003,3500,9412
AVERY,2016,36.0765,-81.9226,1689,6298
BEAUFORT,2016,35.494,-76.8598,8764,14543
BERTIE,2016,36.0662,-76.9787,5778,3456
BLADEN,2016,34.6146,-78.5637,7058,8550
BRUNSWICK,2016,34.071,-78.2377,23282,42720
BUNCOMBE,2016,35.6112,-82.5301,75452,55716
BURKE,2016,35.7496,-81.7048,11251,26238
CABARRUS,2016,35.3868,-80.5519,35521,53819
CALDWELL,2016,35.953,-81.5464,8425,26621
CAMDEN,2016,36.3877,-76.2064,1274,3546
CARTERET,2016,34.8357,-76.6589,9939,26569
CASWELL,2016,36.3932,-79.3335,4792,6026
CATAWBA,2016,35.662,-81.2151,21216,48324
CHATHAM,2016,35.7026,-79.2553,21065,17105
CHEROKEE,2016,35.1339,-84.0635,2860,10844
CHOWAN,2016,36.1508,-76.6079,2992,4014
CLAY,2016,35.0572,-83.7502,1367,4437
CLEVELAND,2016,35.3341,-81.5555,14964,28479
COLUMBUS,2016,34.2656,-78.655,9063,14272
CRAVEN,2016,35.1249,-77.0939,17630,27731
CUMBERLAND,2016,35.0487,-78.8277,71605,51265
CURRITUCK,2016,36.4031,-76.0059,2913,9163
DARE,2016,35.7805,-75.7982,7222,11460
DAVIDSON,2016,35.7933,-80.2128,18109,54317
DAVIE,2016,35.9291,-80.5445,5270,15602
DUPLIN,2016,34.9365,-77.933,8283,12217
DURHAM,2016,36.036,-78.8766,121250,28350
EDGECOMBE,2016,35.9129,-77.5971,16224,8261
FORSYTH,2016,36.1306,-80.2563,94464,75975
FRANKLIN,2016,36.0827,-78.2857,12874,16368
GASTON,2016,35.2944,-81.1803,31177,61798
GATES,2016,36.4449,-76.7005,2385,2874
GRAHAM,2016,35.3502,-83.8335,768,3283
GRANVILLE,2016,36.304,-78.6527,12909,13591
GREENE,2016,35.485,-77.6758,3605,4374
GUILFORD,2016,36.0795,-79.7889,149248,98062
HALIFAX,2016,36.2574,-77.6517,15748,9031
HARNETT,2016,35.3688,-78.8693,16737,27614
HAYWOOD,2016,35.556,-82.9822,10473,18929
HENDERSON,2016,35.3363,-82.48,19827,35809
HERTFORD,2016,36.3591,-76.982,6910,3099
HOKE,2016,35.0175,-79.2373,9726,7760
HYDE,2016,35.5305,-76.2509,965,1288
IREDELL,2016,35.8071,-80.8734,24734,54754
JACKSON,2016,35.2876,-83.1408,7713,9870
JOHNSTON,2016,35.5178,-78.3657,28362,54372
JONES,2016,35.0217,-77.3552,2065,2974
LEE,2016,35.4752,-79.1715,10469,13712
LENOIR,2016,35.2388,-77.6412,12634,13613
LINCOLN,2016,35.4856,-81.2235,9897,28806
MACON,2016,35.1505,-83.4222,4876,12127
MADISON,2016,35.858,-82.7058,3926,6783
MARTIN,2016,35.8432,-77.1092,5846,5897
MCDOWELL,2016,35.6817,-82.0493,4667,14568
MECKLENBURG,2016,35.2467,-80.8328,294562,155518
MITCHELL,2016,36.0133,-82.1636,1596,6282
MONTGOMERY,2016,35.3325,-79.9055,4150,7130
MOORE,2016,35.3106,-79.4814,16329,30490
NASH,2016,35.9673,-77.9864,23235,23319
NEW HANOVER,2016,34.2328,-77.8847,50979,55344
NORTHAMPTON,2016,36.4178,-77.3969,6144,3582
ONSLOW,2016,34.7321,-77.4321,17514,37122
ORANGE,2016,36.0611,-79.1207,59923,18557
PAMLICO,2016,35.1435,-76.7407,2448,4258
PASQUOTANK,2016,36.2955,-76.284,8615,8180
PENDER,2016,34.5248,-77.9051,9354,17639
PERQUIMANS,2016,36.2059,-76.4411,2319,4177
PERSON,2016,36.39,-78.9718,7833,11185
PITT,2016,35.5933,-77.3745,41824,35691
POLK,2016,35.2793,-82.1697,3735,6768
RANDOLPH,2016,35.7103,-79.806,13194,49430
RICHMOND,2016,35.0059,-79.7479,8501,10383
ROBESON,2016,34.6402,-79.1039,19016,20762
ROCKINGHAM,2016,36.396,-79.775,14228,26830
ROWAN,2016,35.6394,-80.5247,19400,42810
RUTHERFORD,2016,35.4026,-81.9198,7512,21871
SAMPSON,2016,34.9916,-78.3714,10547,14838
SCOTLAND,2016,34.8409,-79.4804,7319,6256
STANLY,2016,35.3119,-80.251,7094,21964
STOKES,2016,36.4019,-80.2397,4665,17116
SURRY,2016,36.4146,-80.688,7488,23671
SWAIN,2016,35.4868,-83.4928,2196,3565
TRANSYLVANIA,2016,35.2021,-82.7982,6558,10520
TYRRELL,2016,35.8172,-76.209,720,975
UNION,2016,34.9884,-80.5307,34337,66707
VANCE,2016,36.3649,-78.4079,12229,7332
WAKE,2016,35.7903,-78.6503,302736,196082
WARREN,2016,36.3965,-78.1067,6413,3214
WASHINGTON,2016,35.8226,-76.5775,3510,2564
WATAUGA,2016,36.2311,-81.6964,14138,13697
WAYNE,2016,35.364,-78.004,21770,27540
WILKES,2016,36.2062,-81.163,6638,23752
WILSON,2016,35.7051,-77.9187,19663,17531
YADKIN,2016,36.1605,-80.6652,3160,13880
YANCEY,2016,35.8989,-82.3076,3196,6385
ALAMANCE,2020,NA,NA,38825,46056
ALEXANDER,2020,35.921,-81.177,4145,15888
ALLEGHANY,2020,36.4916,-81.1271,1486,4527
ANSON,2020,34.9738,-80.1027,5789,5321
ASHE,2020,36.4341,-81.5003,4164,11451
AVERY,2020,36.0765,-81.9226,2191,7172
BEAUFORT,2020,35.494,-76.8598,9633,16437
BERTIE,2020,36.0662,-76.9787,5939,3817
BLADEN,2020,34.6146,-78.5637,7326,9676
BRUNSWICK,2020,34.071,-78.2377,33310,55850
BUNCOMBE,2020,35.6112,-82.5301,96515,62412
BURKE,2020,35.7496,-81.7048,13118,31019
CABARRUS,2020,35.3868,-80.5519,52162,63237
CALDWELL,2020,35.953,-81.5464,10245,32119
CAMDEN,2020,36.3877,-76.2064,1537,4312
CARTERET,2020,34.8357,-76.6589,12093,30028
CASWELL,2020,36.3932,-79.3335,4860,7089
CATAWBA,2020,35.662,-81.2151,25689,56588
CHATHAM,2020,35.7026,-79.2553,26787,21186
CHEROKEE,2020,35.1339,-84.0635,3583,12628
CHOWAN,2020,36.1508,-76.6079,3247,4471
CLAY,2020,35.0572,-83.7502,1699,5112
CLEVELAND,2020,35.3341,-81.5555,16955,33798
COLUMBUS,2020,34.2656,-78.655,9446,16832
CRAVEN,2020,35.1249,-77.0939,21148,31032
CUMBERLAND,2020,35.0487,-78.8277,84469,60032
CURRITUCK,2020,36.4031,-76.0059,4195,11657
DARE,2020,35.7805,-75.7982,9936,13938
DAVIDSON,2020,35.7933,-80.2128,22636,64658
DAVIE,2020,35.9291,-80.5445,6713,18228
DUPLIN,2020,34.9365,-77.933,8767,13793
DURHAM,2020,36.036,-78.8766,144688,32459
EDGECOMBE,2020,35.9129,-77.5971,16089,9206
FORSYTH,2020,36.1306,-80.2563,113033,85064
FRANKLIN,2020,36.0827,-78.2857,15879,20901
GASTON,2020,35.2944,-81.1803,40959,73033
GATES,2020,36.4449,-76.7005,2546,3367
GRAHAM,2020,35.3502,-83.8335,905,3710
GRANVILLE,2020,36.304,-78.6527,14565,16647
GREENE,2020,35.485,-77.6758,3832,4874
GUILFORD,2020,36.0795,-79.7889,173086,107294
HALIFAX,2020,36.2574,-77.6517,15545,10080
HARNETT,2020,35.3688,-78.8693,22093,35177
HAYWOOD,2020,35.556,-82.9822,13144,22834
HENDERSON,2020,35.3363,-82.48,27211,40032
HERTFORD,2020,36.3591,-76.982,7097,3479
HOKE,2020,35.0175,-79.2373,11804,9453
HYDE,2020,35.5305,-76.2509,1046,1418
IREDELL,2020,35.8071,-80.8734,33888,67010
JACKSON,2020,35.2876,-83.1408,9591,11356
JOHNSTON,2020,35.5178,-78.3657,41257,68353
JONES,2020,35.0217,-77.3552,2197,3280
LEE,2020,35.4752,-79.1715,12143,16469
LENOIR,2020,35.2388,-77.6412,13605,14590
LINCOLN,2020,35.4856,-81.2235,13274,36341
MACON,2020,35.1505,-83.4222,6230,14211
MADISON,2020,35.858,-82.7058,4901,7979
MARTIN,2020,35.8432,-77.1092,5911,6532
MCDOWELL,2020,35.6817,-82.0493,5832,16883
MECKLENBURG,2020,35.2467,-80.8328,378107,179211
MITCHELL,2020,36.0133,-82.1636,1867,7090
MONTGOMERY,2020,35.3325,-79.9055,4327,8411
MOORE,2020,35.3106,-79.4814,20779,36764
NASH,2020,35.9673,-77.9864,25947,25827
NEW HANOVER,2020,34.2328,-77.8847,66138,63331
NORTHAMPTON,2020,36.4178,-77.3969,6069,3989
ONSLOW,2020,34.7321,-77.4321,24266,46078
ORANGE,2020,36.0611,-79.1207,63594,20176
PAMLICO,2020,35.1435,-76.7407,2713,4849
PASQUOTANK,2020,36.2955,-76.284,9832,9770
PENDER,2020,34.5248,-77.9051,11723,21956
PERQUIMANS,2020,36.2059,-76.4411,2492,4903
PERSON,2020,36.39,-78.9718,8465,13184
PITT,2020,35.5933,-77.3745,47252,38982
POLK,2020,35.2793,-82.1697,4518,7689
RANDOLPH,2020,35.7103,-79.806,15618,56894
RICHMOND,2020,35.0059,-79.7479,8754,11830
ROBESON,2020,34.6402,-79.1039,19020,27806
ROCKINGHAM,2020,36.396,-79.775,15992,31301
ROWAN,2020,35.6394,-80.5247,23114,49297
RUTHERFORD,2020,35.4026,-81.9198,9135,24891
SAMPSON,2020,34.9916,-78.3714,10966,17411
SCOTLAND,2020,34.8409,-79.4804,7186,7473
STANLY,2020,35.3119,-80.251,8129,25458
STOKES,2020,36.4019,-80.2397,5286,20142
SURRY,2020,36.4146,-80.688,8721,27538
SWAIN,2020,35.4868,-83.4928,2780,4161
TRANSYLVANIA,2020,35.2021,-82.7982,8444,11636
TYRRELL,2020,35.8172,-76.209,758,1044
UNION,2020,34.9884,-80.5307,48725,80382
VANCE,2020,36.3649,-78.4079,12431,8391
WAKE,2020,35.7903,-78.6503,393336,226197
WARREN,2020,36.3965,-78.1067,6400,3752
WASHINGTON,2020,35.8226,-76.5775,3396,2781
WATAUGA,2020,36.2311,-81.6964,17122,14451
WAYNE,2020,35.364,-78.004,24215,30709
WILKES,2020,36.2062,-81.163,7511,27592
WILSON,2020,35.7051,-77.9187,20754,19581
YADKIN,2020,36.1605,-80.6652,3763,15933
YANCEY,2020,35.8989,-82.3076,3688,7516
