County,Choice_Party,Total_Votes,Year
BERTIE,DEM,5778,2016
BERTIE,REP,3456,2016
BLADEN,DEM,7058,2016
BLADEN,REP,8550,2016
BRUNSWICK,DEM,23282,2016
BRUNSWICK,REP,42720,2016
BUNCOMBE,DEM,75452,2016
BUNCOMBE,REP,55716,2016
BURKE,DEM,11251,2016
BURKE,REP,26238,2016
CABARRUS,DEM,35521,2016
CABARRUS,REP,53819,2016
CALDWELL,DEM,8425,2016
CALDWELL,REP,26621,2016
CAMDEN,DEM,1274,2016
CAMDEN,REP,3546,2016
CARTERET,DEM,9939,2016
CARTERET,REP,26569,2016
CASWELL,DEM,4792,2016
CASWELL,REP,6026,2016
CATAWBA,DEM,21216,2016
CATAWBA,REP,48324,2016
CHATHAM,DEM,21065,2016
CHATHAM,REP,17105,2016
CHEROKEE,DEM,2860,2016
CHEROKEE,REP,10844,2016
CHOWAN,DEM,2992,2016
CHOWAN,REP,4014,2016
CLAY,DEM,1367,2016
CLAY,REP,4437,2016
CLEVELAND,DEM,14964,2016
CLEVELAND,REP,28479,2016
COLUMBUS,DEM,9063,2016
COLUMBUS,REP,14272,2016
CRAVEN,DEM,17630,2016
CRAVEN,REP,27731,2016
CUMBERLAND,DEM,71605,2016
CUMBERLAND,REP,51265,2016
CURRITUCK,DEM,2913,2016
CURRITUCK,REP,9163,2016
DARE,DEM,7222,2016
DARE,REP,11460,2016
DAVIDSON,DEM,18109,2016
DAVIDSON,REP,54317,2016
DAVIE,DEM,5270,2016
DAVIE,REP,15602,2016
DUPLIN,DEM,8283,2016
DUPLIN,REP,12217,2016
DURHAM,DEM,121250,2016
DURHAM,REP,28350,2016
EDGECOMBE,DEM,16224,2016
EDGECOMBE,REP,8261,2016
FORSYTH,DEM,94464,2016
FORSYTH,REP,75975,2016
FRANKLIN,DEM,12874,2016
FRANKLIN,REP,16368,2016
GASTON,DEM,31177,2016
GASTON,REP,61798,2016
GATES,DEM,2385,2016
GATES,REP,2874,2016
GRAHAM,DEM,768,2016
GRAHAM,REP,3283,2016
GRANVILLE,DEM,12909,2016
GRANVILLE,REP,13591,2016
GREENE,DEM,3605,2016
GREENE,REP,4374,2016
GUILFORD,DEM,149248,2016
GUILFORD,REP,98062,2016
HALIFAX,DEM,15748,2016
HALIFAX,REP,9031,2016
HARNETT,DEM,16737,2016
HARNETT,REP,27614,2016
HAYWOOD,DEM,10473,2016
HAYWOOD,REP,18929,2016
HENDERSON,DEM,19827,2016
HENDERSON,REP,35809,2016
HERTFORD,DEM,6910,2016
HERTFORD,REP,3099,2016
HOKE,DEM,9726,2016
HOKE,REP,7760,2016
HYDE,DEM,965,2016
HYDE,REP,1288,2016
IREDELL,DEM,24734,2016
IREDELL,REP,54754,2016
JACKSON,DEM,7713,2016
JACKSON,REP,9870,2016
JOHNSTON,DEM,28362,2016
JOHNSTON,REP,54372,2016
JONES,DEM,2065,2016
JONES,REP,2974,2016
LEE,DEM,10469,2016
LEE,REP,13712,2016
LENOIR,DEM,12634,2016
LENOIR,REP,13613,2016
LINCOLN,DEM,9897,2016
LINCOLN,REP,28806,2016
MACON,DEM,4876,2016
MACON,REP,12127,2016
MADISON,DEM,3926,2016
MADISON,REP,6783,2016
MARTIN,DEM,5846,2016
MARTIN,REP,5897,2016
MCDOWELL,DEM,4667,2016
MCDOWELL,REP,14568,2016
MECKLENBURG,DEM,294562,2016
MECKLENBURG,REP,155518,2016
MITCHELL,DEM,1596,2016
MITCHELL,REP,6282,2016
MONTGOMERY,DEM,4150,2016
MONTGOMERY,REP,7130,2016
MOORE,DEM,16329,2016
MOORE,REP,30490,2016
NASH,DEM,23235,2016
NASH,REP,23319,2016
NEW HANOVER,DEM,50979,2016
NEW HANOVER,REP,55344,2016
NORTHAMPTON,DEM,6144,2016
NORTHAMPTON,REP,3582,2016
ONSLOW,DEM,17514,2016
ONSLOW,REP,37122,2016
ORANGE,DEM,59923,2016
ORANGE,REP,18557,2016
PAMLICO,DEM,2448,2016
PAMLICO,REP,4258,2016
PASQUOTANK,DEM,8615,2016
PASQUOTANK,REP,8180,2016
PENDER,DEM,9354,2016
PENDER,REP,17639,2016
PERQUIMANS,DEM,2319,2016
PERQUIMANS,REP,4177,2016
PERSON,DEM,7833,2016
PERSON,REP,11185,2016
PITT,DEM,41824,2016
PITT,REP,35691,2016
POLK,DEM,3735,2016
POLK,REP,6768,2016
RANDOLPH,DEM,13194,2016
RANDOLPH,REP,49430,2016
RICHMOND,DEM,8501,2016
RICHMOND,REP,10383,2016
ROBESON,DEM,19016,2016
ROBESON,REP,20762,2016
ROCKINGHAM,DEM,14228,2016
ROCKINGHAM,REP,26830,2016
ROWAN,DEM,19400,2016
ROWAN,REP,42810,2016
RUTHERFORD,DEM,7512,2016
RUTHERFORD,REP,21871,2016
SAMPSON,DEM,10547,2016
SAMPSON,REP,14838,2016
SCOTLAND,DEM,7319,2016
SCOTLAND,REP,6256,2016
STANLY,DEM,7094,2016
STANLY,REP,21964,2016
STOKES,DEM,4665,2016
STOKES,REP,17116,2016
SURRY,DEM,7488,2016
SURRY,REP,23671,2016
SWAIN,DEM,2196,2016
SWAIN,REP,3565,2016
TRANSYLVANIA,DEM,6558,2016
TRANSYLVANIA,REP,10520,2016
TYRRELL,DEM,720,2016
TYRRELL,REP,975,2016
UNION,DEM,34337,2016
UNION,REP,66707,2016
VANCE,DEM,12229,2016
VANCE,REP,7332,2016
WAKE,DEM,302736,2016
WAKE,REP,196082,2016
WARREN,DEM,6413,2016
WARREN,REP,3214,2016
WASHINGTON,DEM,3510,2016
WASHINGTON,REP,2564,2016
WATAUGA,DEM,14138,2016
WATAUGA,REP,13697,2016
WAYNE,DEM,21770,2016
WAYNE,REP,27540,2016
WILKES,DEM,6638,2016
WILKES,REP,23752,2016
WILSON,DEM,19663,2016
WILSON,REP,17531,2016
YADKIN,DEM,3160,2016
YADKIN,REP,13880,2016
YANCEY,DEM,3196,2016
YANCEY,REP,6385,2016
ALAMANCE,DEM,38825,2020
ALAMANCE,REP,46056,2020
ALEXANDER,DEM,4145,2020
ALEXANDER,REP,15888,2020
ALLEGHANY,DEM,1486,2020
ALLEGHANY,REP,4527,2020
ANSON,DEM,5789,2020
ANSON,REP,5321,2020
ASHE,DEM,4164,2020
ASHE,REP,11451,2020
AVERY,DEM,2191,2020
AVERY,REP,7172,2020
BEAUFORT,DEM,9633,2020
BEAUFORT,REP,16437,2020
BERTIE,DEM,5939,2020
BERTIE,REP,3817,2020
BLADEN,DEM,7326,2020
BLADEN,REP,9676,2020
BRUNSWICK,DEM,33310,2020
BRUNSWICK,REP,55850,2020
BUNCOMBE,DEM,96515,2020
BUNCOMBE,REP,62412,2020
BURKE,DEM,13118,2020
BURKE,REP,31019,2020
CABARRUS,DEM,52162,2020
CABARRUS,REP,63237,2020
CALDWELL,DEM,10245,2020
CALDWELL,REP,32119,2020
CAMDEN,DEM,1537,2020
CAMDEN,REP,4312,2020
CARTERET,DEM,12093,2020
CARTERET,REP,30028,2020
CASWELL,DEM,4860,2020
CASWELL,REP,7089,2020
CATAWBA,DEM,25689,2020
CATAWBA,REP,56588,2020
CHATHAM,DEM,26787,2020
CHATHAM,REP,21186,2020
CHEROKEE,DEM,3583,2020
CHEROKEE,REP,12628,2020
CHOWAN,DEM,3247,2020
CHOWAN,REP,4471,2020
