County,Year,Votes_DEM,Votes_REP,Lat,Long,Population,dem_per_capita,rep_per_capita
CABARRUS,2008,31546,45924,35.3868,-80.5519,225807,0.13970337500608926,0.20337722036960768
CALDWELL,2008,12081,22526,35.953,-81.5464,80652,0.14979169766403808,0.27929871546892826
CAMDEN,2008,1597,3140,36.3877,-76.2064,10355,0.15422501207146305,0.30323515210043456
CARTERET,2008,11130,23131,34.8357,-76.6589,67686,0.16443577697012676,0.3417397984812221
CASWELL,2008,5545,5208,36.3932,-79.3335,22736,0.24388634764250527,0.229064039408867
CATAWBA,2008,25656,42993,35.662,-81.2151,160610,0.15974098748521262,0.26768569827532535
CHATHAM,2008,17862,14668,35.7026,-79.2553,76285,0.23414825981516682,0.19227895392278954
CHEROKEE,2008,3785,8643,35.1339,-84.0635,28774,0.1315423646347397,0.3003753388475707
CHOWAN,2008,3688,3773,36.1508,-76.6079,13708,0.2690399766559673,0.2752407353370295
CLAY,2008,1734,3707,35.0572,-83.7502,11089,0.15637117864550457,0.3342952475426098
CLEVELAND,2008,17363,26078,35.3341,-81.5555,99519,0.17446919683678494,0.26204041439323145
COLUMBUS,2008,11076,12994,34.2656,-78.655,50623,0.2187938288920056,0.25668174545167216
CRAVEN,2008,19352,24901,35.1249,-77.0939,100720,0.1921366163621922,0.2472299444003177
CUMBERLAND,2008,74693,52151,35.0487,-78.8277,334728,0.22314535981453598,0.15580112808011282
CURRITUCK,2008,3737,7234,36.4031,-76.0059,28100,0.13298932384341636,0.25743772241992885
DARE,2008,8074,9745,35.7805,-75.7982,36915,0.21871867804415548,0.2639848300148991
DAVIDSON,2008,22433,45419,35.7933,-80.2128,168930,0.13279464867104718,0.2688628425975256
DAVIE,2008,6178,13981,35.9291,-80.5445,42712,0.14464319160891553,0.327331897359056
DUPLIN,2008,8958,10834,34.9365,-77.933,48715,0.183885866776147,0.22239556604741867
DURHAM,2008,103456,32353,36.036,-78.8766,324833,0.31848980860934695,0.09959887080438257
EDGECOMBE,2008,17403,8445,35.9129,-77.5971,48900,0.35588957055214726,0.1726993865030675
FORSYTH,2008,91085,73674,36.1306,-80.2563,382590,0.23807470137745368,0.19256645495177604
FRANKLIN,2008,13085,13273,36.0827,-78.2857,68573,0.19081854374170593,0.1935601475799513
GASTON,2008,31384,52507,35.2944,-81.1803,227943,0.13768354369294078,0.23035144751100056
GATES,2008,2830,2547,36.4449,-76.7005,10478,0.2700897117770567,0.24308074059935103
GRAHAM,2008,1265,2824,35.3502,-83.8335,8030,0.15753424657534246,0.35168119551681193
GRANVILLE,2008,13074,11447,36.304,-78.6527,60992,0.21435598111227702,0.18768035152151102
GREENE,2008,3796,4272,35.485,-77.6758,20451,0.1856143953840888,0.20888954085374797
GUILFORD,2008,142101,97718,36.0795,-79.7889,541309,0.26251364747306993,0.18052166138009898
HALIFAX,2008,16047,8961,36.2574,-77.6517,48622,0.3300357862695899,0.18429928838797252
HARNETT,2008,16785,23579,35.3688,-78.8693,133568,0.12566632726401533,0.17653180402491614
HAYWOOD,2008,12730,14910,35.556,-82.9822,62089,0.20502826587640322,0.24013915508383127
HENDERSON,2008,20082,30930,35.3363,-82.48,116281,0.17270233314126984,0.2659935845064972
HERTFORD,2008,7513,3089,36.3591,-76.982,21552,0.3485987379361544,0.14332776540460282
HOKE,2008,9227,6293,35.0175,-79.2373,52082,0.1771629353711455,0.1208286932145463
HYDE,2008,1241,1212,35.5305,-76.2509,4589,0.27042928742645456,0.2641098278492046
IREDELL,2008,27318,45148,35.8071,-80.8734,186699,0.14632108366943583,0.241822398620239
JACKSON,2008,8766,7854,35.2876,-83.1408,43109,0.20334500916281983,0.18218933401377901
JOHNSTON,2008,26795,43622,35.5178,-78.3657,215999,0.12405150023842702,0.20195463867888278
JONES,2008,2378,2817,35.0217,-77.3552,9172,0.2592673353685129,0.3071303968600087
LEE,2008,10784,12775,35.4752,-79.1715,63285,0.1704037291617287,0.20186458086434383
LENOIR,2008,13378,13401,35.2388,-77.6412,55122,0.24269801531149088,0.24311527157940568
LINCOLN,2008,11713,23631,35.4856,-81.2235,86810,0.13492685174519065,0.27221518258265176
MACON,2008,6620,10317,35.1505,-83.4222,37014,0.17885124547468526,0.27873237153509484
MADISON,2008,5026,5192,35.858,-82.7058,21193,0.23715377719058178,0.2449865521634502
